class	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"OTU_1560"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1561"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Roseiflexus"	NA
"OTU_1562"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1563"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1564"	NA	NA	NA	NA	NA	NA	NA
"OTU_1565"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1566"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Roseiflexus"	NA
"OTU_1567"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1568"	"Bacteria"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Roseiflexaceae"	"Roseiflexus"	NA
"OTU_1569"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1570"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae_(Subgroup_4)"	"RB41"	NA
"OTU_1571"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1572"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1573"	"Bacteria"	"TM6_(Dependentiae)"	NA	NA	NA	NA	NA
"OTU_1574"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	"Clostridium_sensu_stricto_1"	NA
"OTU_1575"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1576"	"Bacteria"	"Chloroflexi"	"Ktedonobacteria"	"C0119"	NA	NA	NA
"OTU_1577"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1578"	NA	NA	NA	NA	NA	NA	NA
"OTU_1579"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1580"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1581"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1582"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1583"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1584"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1585"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"OTU_1586"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1587"	"Bacteria"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae_(Subgroup_4)"	"DS-100"	NA
"OTU_1588"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Planctomycetaceae"	"Rhodopirellula"	NA
"OTU_1589"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1590"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Hirschia"	NA
"OTU_1591"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1592"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1593"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1594"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1595"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1596"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1597"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1598"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1599"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1600"	"Bacteria"	"Armatimonadetes"	"Chthonomonadetes"	"Chthonomonadales"	"Chthonomonadaceae"	"Chthonomonas"	NA
"OTU_1601"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1602"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1603"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1604"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	NA	NA	NA	NA
"OTU_1605"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1606"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1607"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1608"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1609"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Mitochondria"	NA	NA
"OTU_1610"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Saprospiraceae"	NA	NA
"OTU_1611"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Streptomycetales"	"Streptomycetaceae"	"Kitasatospora"	NA
"OTU_1612"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1613"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1614"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1615"	"Eukaryota"	NA	NA	NA	NA	NA	NA
"OTU_1616"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	NA	NA
